,mean,std,min,25%,50%,75%,max
64,0.6536457954659796,1.5027488890282237,0.0786211933651995,0.231950122607499,0.6558558097682456,1.016997109006174,0.9195837895603635
26,-1.076052292803384,-0.6244042402245579,-0.9508240750991344,-0.9466982277274885,-1.0227071495382476,-1.10307142679559,-1.120942883072503
22,-1.0507548737851757,-0.6314882765098404,-0.9287723033146048,-0.9180872303089442,-1.0067160446240466,-1.0913758548404822,-1.1210851236670152
31,-1.078455460496737,-0.6703265103071357,-0.9272230757004449,-0.9420843245663649,-1.0224937315508322,-1.1110128645428856,-1.1213980529749417
47,-0.7892318760311131,-0.3558626448977281,-0.6566026775674303,-0.6962200602768231,-0.7844716990147635,-0.8557645542701006,-0.7272493655818965
100,1.4759582334650063,-0.9081067924781782,1.8106247037061562,1.800437306410588,1.539269080390618,1.0453237580287584,0.9522422300603434
15,-1.1323411056889339,-0.8423013936004731,-0.898446996824669,-0.9610916864623624,-1.0697048391955233,-1.177976905316155,-1.3669622153406416
44,-0.1564223530558775,0.6522118812896085,-0.2375860513717079,-0.28793361053019095,-0.2542347092810584,0.007253144195086613,0.306270794143065
88,0.6463565963818447,1.1395801837546486,0.1680478852208475,0.3394212811612257,0.50528941964664,1.0154744531736342,0.9203234406518261
89,0.8858656260327553,1.0870781100594413,0.2959745314028485,0.5179641404013754,1.1630284127191233,1.0198061464903412,0.9267811636426764
9,-1.1208423233222533,-0.7965245226255917,-0.9577461559283588,-0.958812722162674,-1.0526923767701195,-1.160151331000738,-1.3611303509656452
33,-1.0706582732546854,-0.6354995039052207,-0.9272230757004449,-0.9421962736898584,-1.0164418071934083,-1.0962982336094669,-1.1226497702066482
55,0.2421003579735347,1.5898109306773276,0.07855526878587368,-0.08632123548442351,-0.12499487375904027,0.8808047332259017,0.9227130826396294
103,1.47331962531369,-0.9206990915476035,1.7907154807497199,1.7985501640431265,1.536433669986383,1.0410970754591231,0.939099199127424
28,-1.0690579546701522,-0.6620991039621748,-0.9508240750991344,-0.9285944551854023,-1.0139112796283392,-1.1054801108065466,-1.122023911590795
40,-0.4686494728325136,-0.7410663009733237,-0.3361103351743364,-0.2844391986040021,-0.38518188870240005,-0.5878427594601026,-0.7586276407312668
5,-1.1526019450989957,-0.807098840385906,-0.9622619896121861,-0.990886146043552,-1.0903301632650313,-1.1891671130509807,-1.3844578084656305
53,-0.12513658729518815,0.6525957463150653,-0.4899123787417721,-0.23892388353794447,-0.11263187463090185,-0.03121360509160668,0.27844853385649737
107,1.4898688439192433,-0.9518863361040951,1.9206198643114993,1.8109285385551184,1.551129022834134,1.0547484725784413,0.9556844524475362
39,-0.4442679567279353,-0.6287012384982357,-0.3361103351743364,-0.2844391986040021,-0.3864014200590597,-0.5655214125356792,-0.610583629963067
35,-1.0646288049227841,-0.5556424081439408,-0.9574824576110549,-0.9532312587199284,-1.017981465531191,-1.0810651121123818,-1.1211989161426248
16,-1.1326679591548967,-0.8083302507014645,-0.9485826394020521,-0.9646500693162621,-1.0686072609745294,-1.175443521043051,-1.2336543301638958
78,0.7260641748200484,1.0103294244133674,0.40409084149740226,0.4698340136651491,0.49274349081500274,1.0155269585471702,0.9150605386548785
