,mean,std,min,50%,max,label
0,0.17944833999999998,0.020952984524518773,0.12885,0.17818,0.23764000000000002,1.0
1,0.18020821333333334,0.020450371832313356,0.12885,0.17842999999999998,0.23764000000000002,1.0
2,0.17470504666666667,0.01783678104843852,0.12866,0.173815,0.23256,1.0
3,0.17719097333333336,0.017914784421063822,0.12792,0.175815,0.23256,1.0
4,0.17445080666666668,0.01868973114438662,0.12655,0.17284499999999997,0.22355,1.0
5,0.17545332,0.017806025381057033,0.12655,0.174375,0.22526999999999997,1.0
6,0.17522634,0.01635402907489125,0.12655,0.17451,0.22526999999999997,1.0
7,0.18396128666666667,0.018289230907539054,0.12980999999999998,0.18329,0.23346999999999998,1.0
8,0.18349135333333333,0.018422108638615473,0.12980999999999998,0.18330000000000002,0.23346999999999998,1.0
9,0.18584379333333337,0.018800557769888853,0.12792,0.18672,0.23346999999999998,1.0
10,0.18195612000000003,0.018381947847912878,0.12792,0.18293,0.22546999999999998,1.0
11,0.18549359333333337,0.01840454828440489,0.12792,0.186035,0.22885,1.0
12,0.18630940000000001,0.017349362517390658,0.14282999999999998,0.18552,0.22885,1.0
13,0.18434478,0.01616353094592969,0.14485,0.18232500000000001,0.22885,1.0
14,0.18311080666666665,0.01525747586143911,0.14590999999999998,0.181195,0.23142,1.0
15,0.18208185333333332,0.014495165982367816,0.14590999999999998,0.18114,0.23142,1.0
16,0.18197491999999996,0.017690209167611968,0.1307,0.1815,0.27828,1.0
17,0.18317078,0.020355956909778077,0.1307,0.18243,0.30323,1.0
18,0.20278713999999998,0.03582907942777991,0.13255999999999998,0.19736,0.31782,2.0
19,0.20400704,0.03607294746479137,0.13255999999999998,0.20022,0.31782,2.0
20,0.20173882666666668,0.033016973302237275,0.13255999999999998,0.19963,0.3174,2.0
21,0.20409914666666668,0.03110766912500436,0.13671,0.2007,0.31743000000000005,2.0
22,0.20877359333333334,0.034322494580728224,0.13671,0.2018,0.31785,2.0
23,0.2056451066666667,0.03369591570718207,0.14955,0.19707999999999998,0.31785,2.0
24,0.20471402000000005,0.03722874773180065,0.13844,0.196485,0.3179,2.0
25,0.19793538666666666,0.032884437191323224,0.13844,0.19345,0.3179,2.0
26,0.20049729333333335,0.03498876012041293,0.13002,0.19655499999999998,0.3179,2.0
27,0.19936704666666666,0.03206863673725383,0.13002,0.19644499999999998,0.31751999999999997,2.0
28,0.20278556000000003,0.03144349472084658,0.13002,0.19944,0.31751999999999997,2.0
29,0.20159578666666667,0.03156950191374386,0.14059000000000002,0.198785,0.31751999999999997,2.0
30,0.2040746,0.030573392767844577,0.14059000000000002,0.201035,0.31774,2.0
31,0.19971107333333332,0.030669693302011494,0.13718,0.196625,0.31774,2.0
32,0.19989196,0.03091871069442801,0.13718,0.197185,0.31774,2.0
33,0.20226200000000003,0.033945231890680536,0.13718,0.19860999999999998,0.3173,2.0
34,0.20038930666666666,0.03702457609853406,0.13452999999999998,0.19446,0.3173,2.0
35,0.2042346,0.041455926198610694,0.128,0.19810500000000003,0.31781,2.0
36,0.33992301999999996,0.17462224085994382,0.23504,0.26557,0.81722,3.0
37,0.39984336,0.167947474674902,0.23504,0.39539,0.81722,3.0
38,0.44276275333333337,0.144144793537685,0.23504,0.413645,0.81722,3.0
39,0.4071917666666667,0.03458462019812257,0.31651,0.40526,0.4973,3.0
40,0.39921511333333337,0.024016496888646294,0.31651,0.40565999999999997,0.44526000000000004,3.0
41,0.39814049333333335,0.02090707731713319,0.31651,0.402565,0.43233999999999995,3.0
42,0.3964915266666667,0.017675347697101492,0.34942,0.396155,0.43233999999999995,3.0
43,0.4620465466666667,0.15333850467452187,0.3464,0.39029,0.8195899999999999,3.0
44,0.5013632933333333,0.15505665572647095,0.3464,0.44860999999999995,0.8195899999999999,3.0
